V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,y
37.33,6.5,2,7,8,4.25,1,1,12,1,2,93,1,1,0.0,0.02233048714697361,-5.5,-3050.518310546875,3.402823466385289e+38,3.4028234663852886e+38,1
45.0,8.5,2,13,8,14.0,1,1,1,1,2,88,2001,1,0.0,0.02233048714697361,7.5,-2447.80810546875,0.455689787864685,3.4028234663852886e+38,1
44.25,11.0,1,2,4,1.5,1,0,0,0,1,0,1,0,0.0,0.008214927278459072,11.0,-24.109865188598636,0.07422910630702972,3.4028234663852886e+38,1
25.75,0.5,2,8,4,1.46,1,1,5,1,2,312,1,1,0.0,0.02233048714697361,-4.5,-78505.21875,3.402823466385289e+38,3.4028234663852886e+38,1
43.0,0.29,1,13,8,1.75,1,1,8,0,2,100,376,1,-1.0,0.008214927278459072,-7.710000038146973,-3978.3125,3.402823466385289e+38,3.4028234663852886e+38,1
36.58,0.29,2,1,1,0.0,0,1,10,0,2,200,19,0,0.0,0.008214927278459072,-9.710000038146973,-27932.515625,3.402823466385289e+38,3.4028234663852886e+38,0
30.33,0.5,2,2,8,0.085,0,0,0,1,1,252,1,0,1.0,0.02233048714697361,0.5,-48292.69921875,-0.021457022055983543,3.4028234663852886e+38,1
24.5,13.335,1,6,4,0.04,0,0,0,1,2,120,476,0,1.0,0.02233048714697361,13.335000038146973,-7169.15283203125,0.21797364950180054,3.4028234663852886e+38,1
20.42,10.5,1,14,8,0.0,0,0,0,1,2,154,33,0,1.0,0.02233048714697361,10.5,-14429.58203125,0.1978611052036285,3.4028234663852886e+38,0
47.25,0.75,2,11,8,2.75,1,1,1,0,2,333,893,1,-1.0,0.008214927278459072,-0.25,-90780.6015625,3.402823466385289e+38,3.4028234663852886e+38,0
25.83,12.835,2,13,4,0.5,0,0,0,0,2,0,3,0,0.0,0.008214927278459072,12.835000038146973,-24.109865188598636,0.21475785970687866,3.4028234663852886e+38,1
19.58,0.665,1,8,4,1.0,0,1,1,0,2,2000,3,0,0.0,0.008214927278459072,-0.3350000083446503,-3879108.25,3.402823466385289e+38,3.4028234663852886e+38,0
35.0,2.5,2,3,4,1.0,0,0,0,1,2,210,1,0,1.0,0.02233048714697361,2.5,-31427.935546875,0.07710308581590652,3.4028234663852886e+38,1
57.83,7.04,2,7,4,14.0,1,1,6,1,2,360,1333,1,0.0,0.02233048714697361,1.0399999618530271,-107859.2421875,0.008870134130120277,3.4028234663852886e+38,1
23.08,2.5,2,1,1,0.085,0,0,0,1,2,100,4209,0,1.0,0.02233048714697361,2.5,-3978.3125,0.07710308581590652,3.4028234663852886e+38,1
36.25,5.0,2,8,5,2.5,1,1,6,0,2,0,368,1,-1.0,0.008214927278459072,-1.0,-24.109865188598636,3.402823466385289e+38,3.4028234663852886e+38,1
23.08,11.5,2,9,8,2.125,1,1,11,1,2,290,285,1,0.0,0.02233048714697361,0.5,-66591.296875,-0.15676192939281464,3.4028234663852886e+38,1
20.75,9.54,2,3,4,0.04,0,0,0,0,2,200,1001,0,0.0,0.008214927278459072,9.539999961853027,-27932.515625,0.1897929310798645,3.4028234663852886e+38,0
30.0,5.29,2,10,2,2.25,1,1,5,1,2,99,501,1,0.0,0.02233048714697361,0.2899999916553497,-3839.7705078125,-0.2799572348594665,3.4028234663852886e+38,0
27.58,3.25,1,11,8,5.085,0,1,2,1,2,369,2,0,1.0,0.02233048714697361,1.25,-113876.1171875,0.018776852637529373,3.4028234663852886e+38,1
35.17,25.125,2,14,8,1.625,1,1,1,1,2,515,501,1,0.0,0.02233048714697361,24.125,-234113.25,0.7199223637580872,3.4028234663852886e+38,1
48.17,1.335,2,3,7,0.335,0,0,0,0,2,0,121,0,0.0,0.008214927278459072,1.3350000381469729,-24.109865188598636,0.024312693625688556,3.4028234663852886e+38,0
26.67,14.585,2,3,5,0.0,0,0,0,1,2,178,1,0,1.0,0.02233048714697361,14.585000038146973,-20946.58984375,0.2255133390426636,3.4028234663852886e+38,1
31.57,10.5,2,14,4,6.5,1,0,0,0,2,0,1,1,-1.0,0.008214927278459072,10.5,-24.109865188598636,0.5317862629890442,3.4028234663852886e+38,1
37.58,0.0,2,8,4,0.0,0,0,0,0,3,184,1,1,-1.0,0.008214927278459072,0.0,-22755.841796875,-3.402823466385289e+38,3.4028234663852886e+38,1
32.33,3.5,2,4,4,0.5,0,0,0,1,2,232,1,0,1.0,0.02233048714697361,3.5,-39821.859375,0.1054162085056305,3.4028234663852886e+38,1
20.67,1.835,2,11,4,2.085,1,1,5,0,2,220,2504,1,-1.0,0.008214927278459072,-3.164999961853028,-35123.35546875,3.402823466385289e+38,3.4028234663852886e+38,0
57.58,2.0,2,1,1,6.5,0,1,1,0,2,0,11,0,0.0,0.008214927278459072,1.0,-24.109865188598636,0.0,3.4028234663852886e+38,0
23.0,0.75,2,7,4,0.5,0,0,0,1,1,320,1,0,1.0,0.02233048714697361,0.75,-83077.5546875,-0.008905469439923763,3.4028234663852886e+38,1
64.08,0.165,2,1,1,0.0,1,1,1,0,2,232,101,1,-1.0,0.008214927278459072,-0.8349999785423279,-39821.859375,3.402823466385289e+38,3.4028234663852886e+38,0
20.0,1.25,1,4,4,0.125,0,0,0,0,2,140,5,0,0.0,0.008214927278459072,1.25,-11159.9931640625,0.018776852637529373,3.4028234663852886e+38,1
22.83,2.29,2,11,8,2.29,1,1,7,1,2,140,2385,1,0.0,0.02233048714697361,-4.710000038146973,-11159.9931640625,3.402823466385289e+38,3.4028234663852886e+38,0
26.33,13.0,2,10,2,0.0,0,0,0,1,2,140,1111,0,1.0,0.02233048714697361,13.0,-11159.9931640625,0.21583271026611328,3.4028234663852886e+38,1
35.17,2.5,2,4,4,4.5,1,1,7,0,2,150,1271,1,-1.0,0.008214927278459072,-4.5,-13455.4140625,3.402823466385289e+38,3.4028234663852886e+38,1
29.75,0.665,2,9,4,0.25,0,0,0,1,2,300,1,0,1.0,0.02233048714697361,0.6650000214576721,-71886.71875,-0.03432928770780564,3.4028234663852886e+38,0
25.17,3.5,2,13,4,0.625,1,1,7,0,2,0,7060,1,-1.0,0.008214927278459072,-3.5,-24.109865188598636,3.402823466385289e+38,3.4028234663852886e+38,1
25.42,1.125,2,11,4,1.29,1,1,2,0,2,200,1,0,0.0,0.008214927278459072,-0.875,-27932.515625,3.402823466385289e+38,3.4028234663852886e+38,0
21.67,1.165,1,4,4,2.5,1,1,1,0,2,180,21,0,0.0,0.008214927278459072,0.16500000655651093,-21541.673828125,-0.15161682665348053,3.4028234663852886e+38,1
18.75,7.5,2,11,4,2.71,1,1,5,0,2,184,26727,1,-1.0,0.008214927278459072,2.5,-22755.841796875,0.2072280049324036,3.4028234663852886e+38,0
23.92,0.585,1,13,8,0.125,0,0,0,0,2,240,2,0,0.0,0.008214927278459072,0.5849999785423279,-43114.1953125,-0.04511484876275063,3.4028234663852886e+38,1
23.58,0.46,1,9,4,2.625,1,1,6,1,2,208,348,0,1.0,0.02233048714697361,-5.539999961853027,-30712.8515625,3.402823466385289e+38,3.4028234663852886e+38,1
25.17,3.0,2,8,4,1.25,0,1,1,0,2,0,23,0,0.0,0.008214927278459072,2.0,-24.109865188598636,0.05832623317837715,3.4028234663852886e+38,1
19.17,0.0,1,7,5,0.0,0,0,0,1,1,500,2,1,0.0,0.02233048714697361,0.0,-219795.125,-3.402823466385289e+38,3.4028234663852886e+38,1
35.17,3.75,2,1,1,0.0,0,1,6,0,2,0,201,0,0.0,0.008214927278459072,-2.25,-24.109865188598636,3.402823466385289e+38,3.4028234663852886e+38,0
32.33,0.54,2,13,4,0.04,1,0,0,0,2,440,11178,1,-1.0,0.008214927278459072,0.5400000214576721,-167022.59375,-0.13935643434524536,3.4028234663852886e+38,0
48.25,25.085,2,9,4,1.75,1,1,3,0,2,120,15,1,-1.0,0.008214927278459072,22.084999084472656,-7169.15283203125,0.6999412178993225,3.4028234663852886e+38,1
20.5,10.0,1,8,4,2.5,1,0,0,0,1,40,1,1,-1.0,0.008214927278459072,10.0,794.2091064453125,0.191573902964592,3.4028234663852886e+38,1
23.25,4.0,2,8,5,0.25,1,0,0,1,2,160,1,1,0.0,0.02233048714697361,4.0,-15950.833984375,0.3135238587856293,3.4028234663852886e+38,1
24.5,0.5,2,11,8,1.5,1,0,0,0,2,280,825,1,-1.0,0.008214927278459072,0.5,-61495.87890625,-0.15676192939281464,3.4028234663852886e+38,0
32.42,2.165,1,4,1,0.0,0,0,0,0,2,120,1,0,0.0,0.008214927278459072,2.164999961853028,-7169.15283203125,0.06499683111906053,3.4028234663852886e+38,1
32.33,2.5,2,8,4,1.25,0,0,0,1,2,280,1,0,1.0,0.02233048714697361,2.5,-61495.87890625,0.07710308581590652,3.4028234663852886e+38,1
22.17,0.585,1,1,1,0.0,0,0,0,0,2,100,1,0,0.0,0.008214927278459072,0.5849999785423279,-3978.3125,-0.04511484876275063,3.4028234663852886e+38,1
32.08,4.0,2,7,4,2.5,1,0,0,1,2,360,1,1,0.0,0.02233048714697361,4.0,-107859.2421875,0.3135238587856293,3.4028234663852886e+38,1
18.58,10.29,2,1,1,0.415,0,0,0,0,2,80,1,0,0.0,0.008214927278459072,10.289999961853027,-1587.471923828125,0.19616109132766724,3.4028234663852886e+38,1
21.58,0.79,1,13,4,0.665,0,0,0,0,2,160,1,0,0.0,0.008214927278459072,0.7900000214576721,-15950.833984375,-0.01983531750738621,3.4028234663852886e+38,1
21.33,10.5,2,8,4,3.0,1,0,0,1,2,0,1,1,0.0,0.02233048714697361,10.5,-24.109865188598636,0.5317862629890442,3.4028234663852886e+38,1
67.75,5.5,2,10,9,13.0,1,1,1,1,2,0,1,1,0.0,0.02233048714697361,4.5,-24.109865188598636,0.3401616215705872,3.4028234663852886e+38,1
28.17,0.375,2,11,4,0.585,1,1,4,0,2,80,1,1,-1.0,0.008214927278459072,-3.625,-1587.471923828125,3.402823466385289e+38,3.4028234663852886e+38,0
18.08,0.375,3,13,1,10.0,0,0,0,1,1,300,1,1,0.0,0.02233048714697361,0.375,-71886.71875,-0.0816044881939888,3.4028234663852886e+38,0
27.75,1.29,2,4,8,0.25,0,0,0,1,1,140,1,0,1.0,0.02233048714697361,1.2899999618530271,-11159.9931640625,0.007882688194513321,3.4028234663852886e+38,1
65.17,14.0,2,1,1,0.0,1,1,11,1,2,0,1401,1,0.0,0.02233048714697361,3.0,-24.109865188598636,0.2484617829322815,3.4028234663852886e+38,0
34.17,5.25,2,9,4,0.085,0,0,0,1,2,290,7,1,0.0,0.02233048714697361,5.25,-66591.296875,0.375024288892746,3.4028234663852886e+38,1
16.92,0.5,2,3,4,0.165,0,1,6,1,2,240,36,0,1.0,0.02233048714697361,-5.5,-43114.1953125,3.402823466385289e+38,3.4028234663852886e+38,0
16.33,4.085,2,3,8,0.415,0,0,0,1,2,120,1,0,1.0,0.02233048714697361,4.0850000381469735,-7169.15283203125,0.11842185258865355,3.4028234663852886e+38,1
38.25,10.125,1,4,4,0.125,0,0,0,0,2,160,1,0,0.0,0.008214927278459072,10.125,-15950.833984375,0.19480088353157046,3.4028234663852886e+38,1
51.42,0.04,2,14,8,0.04,1,0,0,0,2,0,3001,1,-1.0,0.008214927278459072,0.03999999910593033,-24.109865188598636,-0.727979838848114,3.4028234663852886e+38,1
28.58,3.625,2,6,4,0.25,0,0,0,1,2,100,1,0,1.0,0.02233048714697361,3.625,-3978.3125,0.10836903750896454,3.4028234663852886e+38,1
19.17,0.585,1,6,4,0.585,1,0,0,1,2,160,1,0,1.0,0.02233048714697361,0.5849999785423279,-15950.833984375,-0.04511484876275063,3.4028234663852886e+38,0
39.5,1.625,2,8,4,1.5,0,0,0,0,2,0,317,0,0.0,0.008214927278459072,1.625,-24.109865188598636,0.040854010730981834,3.4028234663852886e+38,1
29.67,1.415,2,9,8,0.75,1,1,1,0,2,240,101,1,-1.0,0.008214927278459072,0.4149999916553497,-43114.1953125,-0.1989021748304367,3.4028234663852886e+38,1
47.42,8.0,2,10,5,6.5,1,1,6,0,2,375,51101,1,-1.0,0.008214927278459072,2.0,-117977.3671875,0.15676192939281464,3.4028234663852886e+38,0
20.5,11.835,2,8,8,6.0,1,0,0,0,2,340,1,1,-1.0,0.008214927278459072,11.835000038146973,-95068.3984375,0.558854341506958,3.4028234663852886e+38,0
31.57,3.5,2,2,4,3.0,1,0,0,1,2,300,1,0,1.0,0.02233048714697361,3.5,-71886.71875,0.1054162085056305,3.4028234663852886e+38,0
23.33,11.625,1,9,4,0.835,1,0,0,1,2,160,301,1,0.0,0.02233048714697361,11.625,-15950.833984375,0.5548053383827211,3.4028234663852886e+38,1
30.08,1.04,1,3,5,0.5,1,1,10,1,2,132,29,0,1.0,0.02233048714697361,-8.960000038146973,-9467.6572265625,3.402823466385289e+38,3.4028234663852886e+38,1
31.92,3.125,2,1,1,3.04,0,1,2,1,2,200,5,0,1.0,0.02233048714697361,1.125,-27932.515625,0.00991108547896147,3.4028234663852886e+38,0
27.25,1.585,2,13,8,1.835,1,1,12,1,2,583,714,1,0.0,0.02233048714697361,-10.414999961853027,-304666.125,3.402823466385289e+38,3.4028234663852886e+38,1
19.17,5.415,2,3,8,0.29,0,0,0,0,2,80,485,0,0.0,0.008214927278459072,5.414999961853027,-1587.471923828125,0.1421387791633606,3.4028234663852886e+38,0
25.25,13.5,1,1,1,2.0,0,1,1,1,2,200,2,0,1.0,0.02233048714697361,12.5,-27932.515625,0.2125324159860611,3.4028234663852886e+38,0
49.17,2.29,2,1,1,0.29,0,0,0,0,2,200,4,0,0.0,0.008214927278459072,2.289999961853028,-27932.515625,0.06972011923789978,3.4028234663852886e+38,1
19.42,1.5,1,13,4,2.0,1,0,0,1,2,100,21,0,1.0,0.02233048714697361,1.5,-3978.3125,0.0341186597943306,3.4028234663852886e+38,1
17.58,9.0,2,6,4,1.375,1,0,0,1,2,0,1,1,0.0,0.02233048714697361,9.0,-24.109865188598636,0.496923565864563,3.4028234663852886e+38,0
34.08,0.08,1,7,5,0.04,1,1,1,1,2,280,2001,1,0.0,0.02233048714697361,-0.9200000166893004,-61495.87890625,3.402823466385289e+38,3.4028234663852886e+38,1
37.17,4.0,2,8,5,5.0,1,0,0,1,1,280,1,0,1.0,0.02233048714697361,4.0,-61495.87890625,0.04291404411196709,3.4028234663852886e+38,1
17.08,0.25,2,11,4,0.335,0,1,4,0,2,160,9,0,0.0,0.008214927278459072,-3.75,-15950.833984375,3.402823466385289e+38,3.4028234663852886e+38,1
18.17,2.46,2,8,7,0.96,0,1,2,1,2,160,588,0,1.0,0.02233048714697361,0.4600000083446503,-15950.833984375,-0.06534254550933838,3.4028234663852886e+38,1
31.0,2.085,2,8,4,0.085,0,0,0,0,2,300,1,0,0.0,0.008214927278459072,2.0850000381469727,-71886.71875,0.061828572303056724,3.4028234663852886e+38,1
21.92,0.5,2,8,4,0.125,0,0,0,0,2,360,1,0,0.0,0.008214927278459072,0.5,-107859.2421875,-0.05832623317837715,3.4028234663852886e+38,1
51.33,10.0,2,3,5,0.0,1,1,11,0,2,0,1250,1,-1.0,0.008214927278459072,-1.0,-24.109865188598636,3.402823466385289e+38,3.4028234663852886e+38,1
27.25,0.29,2,7,8,0.125,0,1,1,1,2,272,109,0,1.0,0.02233048714697361,-0.7099999785423279,-57563.5390625,3.402823466385289e+38,3.4028234663852886e+38,0
58.58,2.71,2,8,4,2.415,0,0,0,1,2,320,1,0,1.0,0.02233048714697361,2.7100000381469727,-83077.5546875,0.08389020711183548,3.4028234663852886e+38,1
28.0,2.0,2,4,8,4.165,1,1,2,1,2,181,1,1,0.0,0.02233048714697361,0.0,-21842.216796875,-3.402823466385289e+38,3.4028234663852886e+38,1
44.0,2.0,2,7,4,1.75,1,1,2,1,2,0,16,1,0.0,0.02233048714697361,0.0,-24.109865188598636,-3.402823466385289e+38,3.4028234663852886e+38,1
23.58,0.83,2,11,4,0.415,0,1,1,1,2,200,12,0,1.0,0.02233048714697361,-0.17000000178813934,-27932.515625,3.402823466385289e+38,3.4028234663852886e+38,0
42.25,1.75,1,8,4,0.0,0,0,0,1,2,150,2,0,1.0,0.02233048714697361,1.75,-13455.4140625,0.047089971601963036,3.4028234663852886e+38,0
22.0,7.835,1,3,5,0.165,0,0,0,1,2,184,1,0,1.0,0.02233048714697361,7.835000038146973,-22755.841796875,0.1732250303030014,3.4028234663852886e+38,1
16.08,0.335,2,1,1,0.0,0,1,1,0,2,160,127,0,0.0,0.008214927278459072,-0.6650000214576721,-15950.833984375,3.402823466385289e+38,3.4028234663852886e+38,0
26.83,0.54,2,4,1,0.0,0,0,0,0,2,100,1,0,0.0,0.008214927278459072,0.5400000214576721,-3978.3125,-0.051850192248821265,3.4028234663852886e+38,1
27.83,4.0,1,3,8,5.75,1,1,2,1,2,75,1,0,1.0,0.02233048714697361,2.0,-1114.7618408203123,0.05832623317837715,3.4028234663852886e+38,1
18.17,10.25,2,8,8,1.085,0,0,0,0,2,320,14,0,0.0,0.008214927278459072,10.25,-83077.5546875,0.19583335518836972,3.4028234663852886e+38,1
27.67,0.75,2,11,8,0.165,0,0,0,1,2,220,252,0,1.0,0.02233048714697361,0.75,-35123.35546875,-0.024207575246691704,3.4028234663852886e+38,1
23.08,11.5,2,3,4,3.5,1,1,9,0,2,56,743,1,-1.0,0.008214927278459072,2.5,225.5366668701172,0.2072280049324036,3.4028234663852886e+38,1
17.67,0.0,1,5,1,0.0,0,0,0,0,2,86,1,0,0.0,0.008214927278459072,0.0,-2220.72412109375,-3.402823466385289e+38,3.4028234663852886e+38,0
33.08,4.625,2,11,8,1.625,1,1,2,0,2,0,1,1,-1.0,0.008214927278459072,2.625,-24.109865188598636,0.21826235949993134,3.4028234663852886e+38,0
24.08,9.0,2,6,4,0.25,0,0,0,1,2,0,1,0,1.0,0.02233048714697361,9.0,-24.109865188598636,0.1848897933959961,3.4028234663852886e+38,1
36.33,2.125,1,9,4,0.085,1,1,1,0,2,50,1188,1,-1.0,0.008214927278459072,1.125,498.788818359375,0.026637770235538483,3.4028234663852886e+38,1
21.08,5.0,1,1,1,0.0,0,0,0,0,2,0,1,0,0.0,0.008214927278459072,5.0,-24.109865188598636,0.13542932271957395,3.4028234663852886e+38,0
25.17,2.875,2,14,8,0.875,1,0,0,0,2,360,1,1,-1.0,0.008214927278459072,2.875,-107859.2421875,0.23883651196956635,3.4028234663852886e+38,0
34.0,4.5,2,6,4,1.0,1,0,0,1,2,240,1,0,1.0,0.02233048714697361,4.5,-43114.1953125,0.12656354904174805,3.4028234663852886e+38,1
43.25,3.0,2,11,8,6.0,1,1,11,0,2,80,1,1,-1.0,0.008214927278459072,-8.0,-1587.471923828125,3.402823466385289e+38,3.4028234663852886e+38,1
22.25,0.46,2,4,4,0.125,0,0,0,1,2,280,56,0,1.0,0.02233048714697361,0.4600000083446503,-61495.87890625,-0.06534254550933838,3.4028234663852886e+38,1
65.42,11.0,2,10,9,20.0,1,1,7,1,2,22,1,1,0.0,0.02233048714697361,4.0,821.965576171875,0.3135238587856293,3.4028234663852886e+38,1
20.67,0.415,2,8,4,0.125,0,0,0,0,2,0,45,0,0.0,0.008214927278459072,0.4149999916553497,-24.109865188598636,-0.07400530576705933,3.4028234663852886e+38,1
34.83,1.25,1,3,8,0.5,0,0,0,1,2,160,1,0,1.0,0.02233048714697361,1.25,-15950.833984375,0.018776852637529373,3.4028234663852886e+38,0
47.17,5.835,2,9,4,5.5,0,0,0,0,2,465,151,0,0.0,0.008214927278459072,5.835000038146973,-188136.15625,0.1484246701002121,3.4028234663852886e+38,1
27.0,1.5,1,9,4,0.375,1,0,0,1,2,260,1066,1,0.0,0.02233048714697361,1.5,-51905.03515625,0.09169984608888626,3.4028234663852886e+38,1
28.0,3.0,2,9,4,0.75,0,0,0,1,2,300,68,0,1.0,0.02233048714697361,3.0,-71886.71875,0.09244489669799803,3.4028234663852886e+38,1
28.5,1.0,2,11,4,1.0,1,1,2,1,2,167,501,0,1.0,0.02233048714697361,-1.0,-17816.62890625,3.402823466385289e+38,3.4028234663852886e+38,0
56.42,28.0,1,8,4,28.5,1,1,40,0,2,0,16,1,-1.0,0.008214927278459072,-12.0,-24.109865188598636,3.402823466385289e+38,3.4028234663852886e+38,1
17.08,0.085,1,8,4,0.04,0,0,0,0,2,140,723,0,0.0,0.008214927278459072,0.08500000089406967,-11159.9931640625,-0.20743103325366974,3.4028234663852886e+38,1
39.0,5.0,2,13,4,3.5,1,1,10,1,2,0,1,1,0.0,0.02233048714697361,-5.0,-24.109865188598636,3.402823466385289e+38,3.4028234663852886e+38,1
22.08,0.83,2,8,8,2.165,0,0,0,1,2,128,1,1,0.0,0.02233048714697361,0.8299999833106995,-8669.4892578125,-0.042140237987041466,3.4028234663852886e+38,1
41.42,5.0,2,11,8,5.0,1,1,6,1,2,470,1,1,0.0,0.02233048714697361,-1.0,-192508.859375,3.402823466385289e+38,3.4028234663852886e+38,1
56.5,16.0,2,5,1,0.0,1,1,15,0,2,0,248,1,-1.0,0.008214927278459072,1.0,-24.109865188598636,0.0,3.4028234663852886e+38,0
41.17,4.04,2,13,8,7.0,1,1,8,0,2,320,1,1,-1.0,0.008214927278459072,-3.9600000381469727,-83077.5546875,3.402823466385289e+38,3.4028234663852886e+38,1
38.42,0.705,2,8,4,0.375,0,1,2,0,2,225,501,0,0.0,0.008214927278459072,-1.2949999570846558,-37046.06640625,3.402823466385289e+38,3.4028234663852886e+38,1
48.58,0.205,1,4,4,0.25,1,1,11,0,2,380,2733,1,-1.0,0.008214927278459072,-10.795000076293944,-121450.078125,3.402823466385289e+38,3.4028234663852886e+38,1
30.67,2.5,2,13,8,2.25,0,0,0,1,1,340,1,0,1.0,0.02233048714697361,2.5,-95068.3984375,0.02836464159190655,3.4028234663852886e+38,1
29.58,4.5,2,9,4,7.5,1,1,2,1,2,330,1,1,0.0,0.02233048714697361,2.5,-88972.9765625,0.2072280049324036,3.4028234663852886e+38,1
49.5,7.585,2,3,5,7.585,1,1,15,1,2,0,5001,1,0.0,0.02233048714697361,-7.414999961853027,-24.109865188598636,3.402823466385289e+38,3.4028234663852886e+38,1
40.58,1.5,2,3,5,0.0,0,0,0,0,1,300,1,0,0.0,0.008214927278459072,1.5,-71886.71875,0.01255155261605978,3.4028234663852886e+38,1
31.08,3.085,2,8,4,2.5,0,1,2,1,2,160,42,0,1.0,0.02233048714697361,1.0850000381469729,-15950.833984375,0.0068647111766040325,3.4028234663852886e+38,1
17.58,10.0,2,9,8,0.165,0,1,1,0,2,120,2,0,0.0,0.008214927278459072,9.0,-7169.15283203125,0.1848897933959961,3.4028234663852886e+38,1
18.58,5.71,2,2,4,0.54,0,0,0,0,2,120,1,0,0.0,0.008214927278459072,5.710000038146973,-7169.15283203125,0.14660243690013885,3.4028234663852886e+38,1
35.25,3.165,2,14,8,3.75,1,0,0,1,2,680,1,0,1.0,0.02233048714697361,3.164999961853028,-421312.6875,0.09695018082857132,3.4028234663852886e+38,1
74.83,19.0,1,1,1,0.04,0,1,2,0,2,0,352,0,0.0,0.008214927278459072,17.0,-24.109865188598636,0.2384063154459,3.4028234663852886e+38,1
43.17,5.0,2,3,5,2.25,0,0,0,1,2,141,1,0,1.0,0.02233048714697361,5.0,-11380.53515625,0.13542932271957395,3.4028234663852886e+38,1
